,state,state_po,dem_share,rep_share,rep_votes,dem_votes,tot_state_votes,dem_candidate,rep_candidate,year
0,ALABAMA,AL,0.5666672397785496,0.43333276022145045,504070,659170,1182850,"CARTER, JIMMY","FORD, GERALD",1976
1,ALASKA,AK,0.38108171226419174,0.6189182877358083,71555,44058,123574,"CARTER, JIMMY","FORD, GERALD",1976
2,ARIZONA,AZ,0.41386696983103816,0.5861330301689619,418642,295602,742719,"CARTER, JIMMY","FORD, GERALD",1976
3,ARKANSAS,AR,0.6504885147819915,0.34951148521800846,267903,498604,767535,"CARTER, JIMMY","FORD, GERALD",1976
4,CALIFORNIA,CA,0.49082172693181797,0.5091782730681821,3882244,3742284,7803770,"CARTER, JIMMY","FORD, GERALD",1976
5,COLORADO,CO,0.4409245616838536,0.5590754383161465,584278,460801,1081440,"CARTER, JIMMY","FORD, GERALD",1976
6,CONNECTICUT,CT,0.4738998329378652,0.5261001670621348,719261,647895,1386355,"CARTER, JIMMY","FORD, GERALD",1976
7,DELAWARE,DE,0.527301380893124,0.47269861910687605,109780,122461,235642,"CARTER, JIMMY","FORD, GERALD",1976
8,DISTRICT OF COLUMBIA,DC,0.8317772238685264,0.16822277613147366,27873,137818,168830,"CARTER, JIMMY","FORD, GERALD",1976
9,FLORIDA,FL,0.526802018720792,0.473197981279208,1469531,1636000,3150631,"CARTER, JIMMY","FORD, GERALD",1976
10,GEORGIA,GA,0.6693829485931742,0.3306170514068258,483743,979409,1463152,"CARTER, JIMMY","FORD, GERALD",1976
11,HAWAII,HI,0.5128263123829938,0.4871736876170062,140003,147375,291301,"CARTER, JIMMY","FORD, GERALD",1976
12,IDAHO,ID,0.38267009374055033,0.6173299062594496,204151,126549,340932,"CARTER, JIMMY","FORD, GERALD",1976
13,ILLINOIS,IL,0.4899716625636061,0.510028337436394,2364269,2271295,4721282,"CARTER, JIMMY","FORD, GERALD",1976
14,INDIANA,IN,0.46151222192305175,0.5384877780769483,1183958,1014714,2220362,"CARTER, JIMMY","FORD, GERALD",1976
15,IOWA,IA,0.4948383414684765,0.5051616585315235,632864,619931,1279303,"CARTER, JIMMY","FORD, GERALD",1976
16,KANSAS,KS,0.4612445923746186,0.5387554076253813,502752,430421,957845,"CARTER, JIMMY","FORD, GERALD",1976
17,KENTUCKY,KY,0.5365402864664347,0.4634597135335653,531852,615717,1167142,"CARTER, JIMMY","FORD, GERALD",1976
18,LOUISIANA,LA,0.5295957514788067,0.47040424852119334,587446,661365,1277383,"CARTER, JIMMY","FORD, GERALD",1976
19,MAINE,ME,0.49568821102904614,0.5043117889709539,236320,232279,482968,"CARTER, JIMMY","FORD, GERALD",1976
20,MARYLAND,MD,0.5303541992343639,0.46964580076563617,672661,759612,1432273,"CARTER, JIMMY","FORD, GERALD",1976
21,MASSACHUSETTS,MA,0.5811462217110593,0.4188537782889406,1030276,1429475,2547558,"CARTER, JIMMY","FORD, GERALD",1976
22,MICHIGAN,MI,0.4725622595013001,0.5274377404986998,1893742,1696714,3651590,"CARTER, JIMMY","FORD, GERALD",1976
23,MINNESOTA,MN,0.566419819719711,0.433580180280289,819395,1070440,1949931,"CARTER, JIMMY","FORD, GERALD",1976
24,MISSISSIPPI,MS,0.509678885287533,0.490321114712467,366846,381329,768390,"CARTER, JIMMY","FORD, GERALD",1976
25,MISSOURI,MO,0.5184190712575877,0.4815809287424124,927443,998387,1953600,"CARTER, JIMMY","FORD, GERALD",1976
26,MONTANA,MT,0.46215653854013783,0.5378434614598622,173703,149259,328734,"CARTER, JIMMY","FORD, GERALD",1976
27,NEBRASKA,NE,0.39373548552603155,0.6062645144739685,359219,233293,606749,"CARTER, JIMMY","FORD, GERALD",1976
28,NEVADA,NV,0.4773060407118378,0.5226939592881622,101273,92479,201876,"CARTER, JIMMY","FORD, GERALD",1976
29,NEW HAMPSHIRE,NH,0.44260747047185084,0.5573925295281492,185935,147645,339627,"CARTER, JIMMY","FORD, GERALD",1976
30,NEW JERSEY,NJ,0.48899331526049294,0.511006684739507,1509688,1444653,3014472,"CARTER, JIMMY","FORD, GERALD",1976
31,NEW MEXICO,NM,0.4875523248345117,0.5124476751654883,211419,201148,416590,"CARTER, JIMMY","FORD, GERALD",1976
32,NEW YORK,NY,0.534451946087019,0.46554805391298104,2825913,3244165,6668262,"CARTER, JIMMY","FORD, GERALD",1976
33,NORTH CAROLINA,NC,0.5555329249846495,0.44446707501535054,741960,927365,1677906,"CARTER, JIMMY","FORD, GERALD",1976
34,NORTH DAKOTA,ND,0.4696198949482679,0.5303801050517322,153684,136078,297308,"CARTER, JIMMY","FORD, GERALD",1976
35,OHIO,OH,0.5011635459664862,0.4988364540335138,2000626,2009959,4110456,"CARTER, JIMMY","FORD, GERALD",1976
36,OKLAHOMA,OK,0.49384779483374297,0.506152205166257,545708,532442,1092251,"CARTER, JIMMY","FORD, GERALD",1976
37,OREGON,OR,0.4991282682307967,0.5008717317692033,492120,490407,1029876,"CARTER, JIMMY","FORD, GERALD",1976
38,PENNSYLVANIA,PA,0.513571390921736,0.486428609078264,2205604,2328677,4620787,"CARTER, JIMMY","FORD, GERALD",1976
39,RHODE ISLAND,RI,0.5567237731880602,0.4432762268119398,181249,227636,410584,"CARTER, JIMMY","FORD, GERALD",1976
40,SOUTH CAROLINA,SC,0.565661090449159,0.4343389095508409,346149,450807,802583,"CARTER, JIMMY","FORD, GERALD",1976
41,SOUTH DAKOTA,SD,0.4925696563319523,0.5074303436680477,151505,147068,300678,"CARTER, JIMMY","FORD, GERALD",1976
42,TENNESSEE,TN,0.5657294458053167,0.4342705541946833,633969,825879,1476346,"CARTER, JIMMY","FORD, GERALD",1976
